ANÁLISIS AVANZADO DE RENDIMIENTO,,,,,,
,,,,,,
TASAS DE CONVERSIÓN Y EFICIENCIA,,,,,,
Marca,Tasa Éxito,Tasa Rechazo,Tasa Contacto,Eficiencia Llamadas,Llamadas/Lead,Evaluación
EBRO,0.0%,39.3%,-53.6%,0.0%,2.14,Mejorar
KGM,0.0%,71.0%,-3.2%,0.0%,1.87,Mejorar
KIA_CAMPAÑA_ALJARAFE,8.5%,23.8%,-56.2%,3.2%,2.65,Mejorar
KIA_CAMPAÑA_SEVILLA,7.2%,24.1%,-73.3%,2.8%,2.59,Mejorar
Kia,11.7%,62.2%,-54.3%,5.4%,2.18,Regular
SWM,3.8%,36.5%,-57.7%,1.8%,2.19,Mejorar
Subaru,11.5%,38.5%,-42.3%,5.8%,2.00,Regular
TERRYOCASION_Octubre_2025,10.6%,7.5%,-118.0%,3.9%,2.72,Regular
Terry_Ocasion,5.3%,50.6%,-47.6%,2.5%,2.11,Mejorar
,,,,,,
,,,,,,
ANÁLISIS DE CONTACTABILIDAD,,,,,,
Marca,% No Contesta,% Buzón,Total Incontactables,Prioridad Recontacto,,
EBRO,89.3%,64.3%,43,ALTA,,
KGM,80.6%,22.6%,32,ALTA,,
KIA_CAMPAÑA_ALJARAFE,117.9%,38.3%,367,ALTA,,
KIA_CAMPAÑA_SEVILLA,148.2%,25.1%,338,ALTA,,
Kia,112.2%,42.0%,290,ALTA,,
SWM,103.8%,53.8%,82,ALTA,,
Subaru,92.3%,50.0%,37,ALTA,,
TERRYOCASION_Octubre_2025,175.2%,42.9%,351,ALTA,,
Terry_Ocasion,117.1%,30.6%,251,ALTA,,
,,,,,,
,,,,,,
RANKING DE RENDIMIENTO,,,,,,
Posición,Marca,Tasa de Éxito,Leads Exitosos,,,
🥇,Kia,11.7%,22,,,
🥈,Subaru,11.5%,3,,,
🥉,TERRYOCASION_Octubre_2025,10.6%,17,,,
4,KIA_CAMPAÑA_ALJARAFE,8.5%,20,,,
5,KIA_CAMPAÑA_SEVILLA,7.2%,14,,,
6,Terry_Ocasion,5.3%,9,,,
7,SWM,3.8%,2,,,
8,EBRO,0.0%,0,,,
9,KGM,0.0%,0,,,
